web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587556167-4155,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,fit nicely and look good,"Reviewed in the United States on March 4, 2020",5.0 out of 5 stars,Verified Purchase,fit nicely and look good
1587556167-4339,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"comfortable , strong and decorative shoes","Reviewed in the United States on March 10, 2020",4.0 out of 5 stars,Verified Purchase,Unfortunately ! it was about to fit my feet but it is a bit larger ! Thank you
1587556167-4531,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,GREAT !!!,"Reviewed in the United States on October 22, 2019",5.0 out of 5 stars,Verified Purchase,VERY LIGHT AND COMFORTABLE
1587556167-4281,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Solid shoe for walking,"Reviewed in the United States on February 17, 2020",5.0 out of 5 stars,Verified Purchase,Fit great and very comfortable
1587556167-4359,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Style is good for cushion wear only,"Reviewed in the United States on August 21, 2019",4.0 out of 5 stars,Verified Purchase,"Not a running shoes, too hard"
1587556167-4026,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good value and comfort,"Reviewed in the United States on July 26, 2019",5.0 out of 5 stars,Verified Purchase,"Comfy, good price. Love ua shoes"
1587556167-4539,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Satisfied,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,Shoes work well for working out!
1587556167-3713,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes!,"Reviewed in the United States on January 15, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes for working out in the gym and everyday wear. I literally wear them everywhere I go and they are my most preferred shoes. I think the price is fairly reasonable too. They fit very well from the first time I tried them on. I'm definitely getting another pair once these are completely worn out.
1587556167-4326,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best!,"Reviewed in the United States on February 10, 2020",5.0 out of 5 stars,Verified Purchase,These shoes are the best running shoes I’ve purchased.
1587556167-4025,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great!,"Reviewed in the United States on March 24, 2020",5.0 out of 5 stars,Verified Purchase,Wonderful shoes. I have plantar fasciitis and these have great support when I walk.
1587556167-4405,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect!,"Reviewed in the United States on March 21, 2020",5.0 out of 5 stars,Verified Purchase,Perfect fit!
1587556167-4634,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good Shoes,"Reviewed in the United States on August 2, 2019",4.0 out of 5 stars,Verified Purchase,Nice shoes and provides good comfort.
1587556167-4712,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice shoes!,"Reviewed in the United States on August 9, 2019",5.0 out of 5 stars,null,The fit was great!
1587556167-4244,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Basic,"Reviewed in the United States on March 21, 2020",1.0 out of 5 stars,Verified Purchase,Basic and boring when seeing it
1587556167-4167,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Recommend,"Reviewed in the United States on December 4, 2019",5.0 out of 5 stars,Verified Purchase,My dad loved this I recommend this product
1587556167-4600,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Fits good, but for running better to buy half size larger","Reviewed in the United States on August 23, 2019",5.0 out of 5 stars,Verified Purchase,"Fits good, but for running better to buy half size larger"
1587556167-4136,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,thanks,"Reviewed in the United States on April 12, 2020",5.0 out of 5 stars,Verified Purchase,thanks
1587556167-4456,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect fit,"Reviewed in the United States on December 30, 2019",4.0 out of 5 stars,Verified Purchase,Perfect fit and comfortable! Good buy for the price!
1587556167-4640,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Thank you,"Reviewed in the United States on September 24, 2019",5.0 out of 5 stars,Verified Purchase,Thank you
1587556167-4447,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,It’s comfortable,"Reviewed in the United States on July 21, 2019",5.0 out of 5 stars,Verified Purchase,Love the shoes
1587556167-3734,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable affordable,"Reviewed in the United States on January 22, 2020",5.0 out of 5 stars,Verified Purchase,Comfortable affordable replaced my asics for the gym runs wider way more room in the toe box area cool red orange color  .. great deal
1587556167-4498,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best shoe brand,"Reviewed in the United States on March 11, 2020",5.0 out of 5 stars,Verified Purchase,Comfortable better then Nike
1587556167-4441,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them,"Reviewed in the United States on February 11, 2020",5.0 out of 5 stars,Verified Purchase,So comfortable
1587556167-4328,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good product over a short period of time,"Reviewed in the United States on March 11, 2020",4.0 out of 5 stars,Verified Purchase,"I like the quality of the materials, and they were used in the gym."
1587556167-4124,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Little clouds for your feet,"Reviewed in the United States on October 18, 2019",5.0 out of 5 stars,Verified Purchase,"Comfy, good shoe"
1587556167-4453,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good for the price,"Reviewed in the United States on March 7, 2020",5.0 out of 5 stars,Verified Purchase,Excellent everyday shoes!
1587556167-4071,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Durable, comfortable, great for running","Reviewed in the United States on April 19, 2020",5.0 out of 5 stars,Verified Purchase,Great shoe for everyday life and running.
1587556167-4475,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Excellent,"Reviewed in the United States on March 9, 2020",5.0 out of 5 stars,Verified Purchase,Fits perfectly really like the shoe looks great
1587556167-3720,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bulky but light,"Reviewed in the United States on March 23, 2020",5.0 out of 5 stars,Verified Purchase,This show is light weight but also is bulkier than i thought it would. My son wanted a sleeker shoe. Nice enough and easy to clean with a cloth and shoe brush.
1587556167-4477,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I like them the real comfortable,"Reviewed in the United States on September 30, 2019",5.0 out of 5 stars,Verified Purchase,I like them the real comfortable
1587556167-3864,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I will order again once these run low,"Reviewed in the United States on March 15, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes they are comfortable and helped a little relief off my lower back
1587556167-3949,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Order one size up.,"Reviewed in the United States on January 6, 2020",1.0 out of 5 stars,Verified Purchase,Need a 12.
1587556167-3826,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Runs large - Order a size down,"Reviewed in the United States on April 10, 2020",3.0 out of 5 stars,Verified Purchase,Runs large - once we got the right size the fit was perfect.  My husband loves them.
1587556167-4174,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Everything was great. Mauruuru,"Reviewed in the United States on February 20, 2020",5.0 out of 5 stars,Verified Purchase,I like it qnd it fit exactly on my feet. Thank you so much.
1587556167-3912,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Good fit, durabilty","Reviewed in the United States on December 11, 2019",4.0 out of 5 stars,Verified Purchase,Great shoe for cross training.
1587556167-4699,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes!,"Reviewed in the United States on July 19, 2019",5.0 out of 5 stars,null,"I bought these for my husband, mainly because they were the wide fit. He said he's never had a shoe fit so comfortably and he is picky on shoes!!"
1587556167-3696,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Size run small,"Reviewed in the United States on March 7, 2020",4.0 out of 5 stars,Verified Purchase,"I bought these and Adidas that are the same size but these run smaller. I am a runner so need a little extra space so I always order a 1/2 size larger but these have no wiggle room. Other than size running small, they are good."
1587556167-4051,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Premium Dad Shoe,"Reviewed in the United States on February 11, 2020",5.0 out of 5 stars,Verified Purchase,It's my favorite comfortable Dad shoe.
1587556167-4227,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Very stylish & comfortable,"Reviewed in the United States on March 21, 2020",5.0 out of 5 stars,Verified Purchase,"These sneakers are not only extremely comfortable, but they are very cushioned and look great!"
1587556167-3985,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice!,"Reviewed in the United States on August 14, 2019",5.0 out of 5 stars,Verified Purchase,Very comfortable and well made.
1587556167-4232,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great for running!,"Reviewed in the United States on December 22, 2019",5.0 out of 5 stars,Verified Purchase,I like my new running shoes and have been using them just great!
1587556167-4667,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Lightweight, comfortable, stylish","Reviewed in the United States on July 16, 2019",5.0 out of 5 stars,null,"I'm liking these under armour shoes. They are super lightweight, comfortable and breathable. I walk 10 plus miles at work and my feet don't hurt after walking in these shoes. I'm going to try and see how longevity is as much as I walk and exercise everyday. It almost feels like your not wearing shoes.

Pros
Lightweight
Comfortable
Breathable
Looks

Cons
Non as of yet"
1587556167-4221,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice shoes!,"Reviewed in the United States on March 1, 2020",5.0 out of 5 stars,Verified Purchase,Great shoes very comfortable. Not sure if they wont last long because bad make or because I just wear them so often either way great shoes!
1587556167-3943,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SO COMFORTABLE,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,I loveeee these shoes! They are insanely COMFORTABLE!
1587556167-4287,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Light, fit-right shoe","Reviewed in the United States on January 16, 2020",5.0 out of 5 stars,Verified Purchase,"A great shoe, I definitely will be buying more of this shoe for work. They are light, durable and comfortable."
1587556167-4294,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love my new kicks!,"Reviewed in the United States on January 20, 2020",5.0 out of 5 stars,Verified Purchase,"Great product, deliver. I’ve never been dissatisfied with under armor products."
1587556167-4557,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,U can’t go wrong with it,"Reviewed in the United States on February 3, 2020",4.0 out of 5 stars,Verified Purchase,Great product
1587556167-4488,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable,"Reviewed in the United States on March 20, 2020",3.0 out of 5 stars,Verified Purchase,Nice comfortable. Soles squeak
1587556167-4525,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The products I order from Amazon are always great,"Reviewed in the United States on February 25, 2020",5.0 out of 5 stars,Verified Purchase,The underarmour sneakers fit perfect
1587556167-3712,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable shoes,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,"I liked them, they were comfortable around the house for the 3 min I had them on. On par with a good pir of Nikes I think.  Wife didn't like they way they looked so I sent them back. I thought they looked OK, but what do I know."
1587556167-4567,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great product,"Reviewed in the United States on December 31, 2019",4.0 out of 5 stars,Verified Purchase,Satisfied with purchase.
1587556167-4338,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Very good shoe,"Reviewed in the United States on February 19, 2020",5.0 out of 5 stars,Verified Purchase,Awesome Shoes and very comfortable. They fit perfectly and I highly recommend!
1587556167-4159,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoe for the price,"Reviewed in the United States on December 19, 2019",5.0 out of 5 stars,Verified Purchase,"Fits great, very comfortable"
1587556167-4505,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome.,"Reviewed in the United States on March 12, 2020",5.0 out of 5 stars,Verified Purchase,Awesome fit and feel.
1587556167-3995,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice shoes,"Reviewed in the United States on March 20, 2020",5.0 out of 5 stars,Verified Purchase,Great shoes fit well
1587556167-4353,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Very good libel durable fashionable sexy shoes,"Reviewed in the United States on January 2, 2020",4.0 out of 5 stars,Verified Purchase,Great cakes great support great brand great price great Amazon
1587556167-4261,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,New gym shoes!,"Reviewed in the United States on March 21, 2020",5.0 out of 5 stars,Verified Purchase,These feel comfortable and expensive!
1587556167-4102,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable for all day use,"Reviewed in the United States on December 12, 2019",5.0 out of 5 stars,Verified Purchase,Great pair of shoes. Fit comfortably for all day long use.
1587556167-3934,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Wrong color,"Reviewed in the United States on April 9, 2020",2.0 out of 5 stars,Verified Purchase,This show is not the white bottom and white under armor logo. It is gray.
1587556167-4282,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The order was right and delivered quick.,"Reviewed in the United States on January 9, 2020",5.0 out of 5 stars,Verified Purchase,My son likes the way the shoes fill and fit. I will for sure be ordering more!! Wouldn’t have it any other way.
1587556167-3710,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable and versatile shoe,"Reviewed in the United States on January 5, 2020",5.0 out of 5 stars,Verified Purchase,These were perfect for my 12yo son. He said they are extremely comfortable and he loves the look. He even wore them to a school dance and they looked great with his black pants and button up shirt.
1587556167-3853,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Recommend,"Reviewed in the United States on March 31, 2020",5.0 out of 5 stars,Verified Purchase,Great shoe wear them every day most likely will buy again
1587556167-4010,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Worth the price,"Reviewed in the United States on February 5, 2020",5.0 out of 5 stars,Verified Purchase,Awesome shoes
1587556167-4053,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,The Perfect Shoe,"Reviewed in the United States on August 20, 2019",5.0 out of 5 stars,Verified Purchase,I love the UnderArmour shoes that I get from amazon. They are cheap and very very very durable and stylish. I have been and will continue to get my shoes from here
1587556167-4356,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome,"Reviewed in the United States on January 15, 2020",5.0 out of 5 stars,Verified Purchase,These are the most comfortable shoes I’ve had in a long time.
1587556167-4510,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Luv mine.,"Reviewed in the United States on December 10, 2019",5.0 out of 5 stars,Verified Purchase,Really nice shoe unbeatable price
1587556167-4340,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Looks,"Reviewed in the United States on February 1, 2020",4.0 out of 5 stars,Verified Purchase,Love the style and color
1587556167-4075,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes wrong color,"Reviewed in the United States on April 7, 2020",5.0 out of 5 stars,Verified Purchase,"I ordered the white soles and got all black shoes.
Other than that my husband does like his new shoes. Says they are very comfortable and great fit"
1587556167-4576,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Excellent,"Reviewed in the United States on February 2, 2020",5.0 out of 5 stars,Verified Purchase,High quality
1587556167-4324,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Just buy it! (Get it, better than Nike)","Reviewed in the United States on December 15, 2019",5.0 out of 5 stars,Verified Purchase,Great fit and comfortable shoe. 100 miles on it and still holding up great!
1587556167-3698,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sooo Comfortable,"Reviewed in the United States on July 25, 2019",5.0 out of 5 stars,Verified Purchase,I use my UA shoes for everyday use. They are absolutely the most comfortable sneaker I’ve ever worn.
1587556167-4731,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable and lightweight,"Reviewed in the United States on August 24, 2019",5.0 out of 5 stars,null,I bought this for my fiance. He loves them. Comfortable and lightweight
1587556167-3919,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Happy boyfriend!,"Reviewed in the United States on January 10, 2020",5.0 out of 5 stars,Verified Purchase,My boyfriend said they were so comfortable!
1587556167-3761,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes,"Reviewed in the United States on November 15, 2019",5.0 out of 5 stars,Verified Purchase,"Extremely comfortable, it feels like I'm 20lbs lighter when I'm wearing them. I know that sounds strange but I really do."
1587556167-4284,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome,"Reviewed in the United States on February 13, 2020",5.0 out of 5 stars,Verified Purchase,Sooo comfortable!
1587556167-4552,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazing,"Reviewed in the United States on January 13, 2020",5.0 out of 5 stars,Verified Purchase,Great quality!
1587556167-3852,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great buy,"Reviewed in the United States on February 23, 2020",5.0 out of 5 stars,Verified Purchase,Husband is one of the hardest people to shop for and he loved them!! Fit as expected and he says they are very compfortable
1587556167-3797,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good buy,"Reviewed in the United States on December 4, 2019",5.0 out of 5 stars,Verified Purchase,Really good. Came in all black. Some pictures show white on bottom but it is all black
1587556167-4325,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice shoe that fits well.,"Reviewed in the United States on January 2, 2020",5.0 out of 5 stars,Verified Purchase,Fit as ordered and delivered as promised.
1587556167-4391,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good shoes,"Reviewed in the United States on March 6, 2020",5.0 out of 5 stars,Verified Purchase,The color is awesome and they fit well. Great for running
1587556167-4311,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great sneakers,"Reviewed in the United States on January 16, 2020",5.0 out of 5 stars,Verified Purchase,Great fit and style
1587556167-3673,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Great shoe, but...","Reviewed in the United States on September 1, 2019",4.0 out of 5 stars,Verified Purchase,"I really like this shoe. I had a pair of the charged assert 6, and it by far is the best shoe that I have ever had. Very comfortable and I have logged a lot of workout hours and miles on them. I was a little bit mad when I couldn’t find them anymore. So I bought these. Again, very good shoe except... the area that has the loop on the back of the shoe is very stiff. If you are driving in them, you will feel your Achilles rubbing on the back part of the shoe. Very annoying and kind of painful. You will definitely have to break in this part of the shoe. Other then that, it’s pretty solid."
1587556167-4169,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Excellent shoe!,"Reviewed in the United States on December 15, 2019",5.0 out of 5 stars,Verified Purchase,Shoe fits well and was a steal at the price I bought it at! Want to get it in blue when it is available.
1587556167-4506,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good fit. Comfortable shoes.,"Reviewed in the United States on September 11, 2019",5.0 out of 5 stars,Verified Purchase,"Good fit. They are comfortable, well padded and look pretty."
